Niño,Grupo,Edad,Emparejamiento_emocion_RC,Emparejamiento_emocion_TR,Memoria_emocion_RC,Memoria_emocion_TR,Emparejamiento_identidad_RC,Emparejamiento_identidad_TR,Memoria_identidad_RC,Memoria_identidad_TR,emocion emp,emocion mem,pre/post,Tipo emp emoción,Omisión emp emoción,Comisión emp emoción,Tipo mem emoción,Omisión mem emoción,Comisión mem emoción,Tipo emp identidad,Omisión emp identidad,Comisión emp identidad,Tipo mem identidad,Omisión mem identidad,Comisión mem identidad
ALJ10M,Grupo emoción,10,0,2.931255649,1,0.799458607,1,1.142465693,0,0.822926477,Tristeza,Enojo,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Comisión,0,100
ALJ10M,Grupo emoción,10,1,2.488711497,1,0.864186362,0,2.777017108,0,0.75025205,Enojo,Alegría,Pre,Acierto,0,0,Acierto,0,0,Comisión,0,100,Comisión,0,100
ALJ10M,Grupo emoción,10,1,3.040231538,0,0.913084376,0,1.237826953,1,0.92772577,Alegría,Enojo,Pre,Acierto,0,0,Comisión,0,100,Comisión,0,100,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.482671394,1,0.952730037,1,1.174083298,1,1.295821271,Enojo,Tristeza,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.453447864,1,1.671369617,1,1.933127058,1,1.295085665,Enojo,Tristeza,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,3.233705666,1,0.949507911,0,2.16549781,1,0.709952956,Tristeza,Enojo,Pre,Acierto,0,0,Acierto,0,0,Comisión,0,100,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.628937188,0,1.6031906,1,2.415866403,1,1.507158524,Enojo,Enojo,Pre,Comisión,0,100,Comisión,0,100,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.124804049,1,1.384159909,1,2.843198691,1,0.738007497,Tristeza,Enojo,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.394553596,1,1.921323395,1,2.105693713,1,0.681062069,Tristeza,Tristeza,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,0,2.324061096,1,0.861939249,1,3.529652567,1,0.669096825,Tristeza,Enojo,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,3.51588979,1,1.197936354,1,2.91521139,1,0.997066269,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,1.620480885,0,,1,2.403859677,1,0.986071693,Enojo,Tristeza,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,1.969028716,0,,1,1.43224686,1,1.25707003,Alegría,Tristeza,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
ALJ10M,Grupo emoción,10,1,2.624438222,1,1.308122713,0,1.191231756,1,0.62258064,Tristeza,Enojo,Pre,Acierto,0,0,Acierto,0,0,Comisión,0,100,Acierto,0,0
ALJ10M,Grupo emoción,10,1,2.165862057,1,0.808223058,1,1.184896146,1,0.834273054,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
