"","Variables","Corr","P_val"
"80","EPPPCP..AE-EC.mem.A.1",0.35828578864452,0.460732759251007
"81","EPPPCP..AE-RC.mem.T.1",-0.153706461568619,0.947386309287291
"82","EPPPCP..AE-TR.mem.T.1",-0.484240576573179,0.129552222514702
"83","EPPPCP..AE-EO.mem.T.1",-0.41439450635785,0.329142268841745
"84","EPPPCP..AE-EC.mem.T.1",0.522378056827026,0.31603795155281
"85","EPPPCP..AE-RC.mem.E.1",-0.445465729513354,0.107658146839619
"86","EPPPCP..AE-TR.mem.E.1",-0.58137017636355,0.169802163633227
"87","EPPPCP..AE-EO.mem.E.1",0.097714731831036,0.507331101176283
"88","EPPPCP..AE-EC.mem.E.1",0.441546402777975,0.24803460765946
"89","EPPPCP..AE-RC.emp.ID.1",-0.160784657691306,0.736593797277815
"90","EPPPCP..AE-TR.emp.ID.1",-0.320485561877891,0.181531204672988
"91","EPPPCP..AE-EO.emp.ID.1",-0.306938380318344,0.379136409185668
"92","EPPPCP..AE-EC.emp.ID.1",0.228691537004469,0.597009810550502
"93","EPPPCP..AE-RC.mem.ID.1",-0.0847877758507693,0.871504738566741
"94","EPPPCP..AE-TR.mem.ID.1",-0.0500985411605641,0.538753922350483
"95","EPPPCP..AE-EO.mem.ID.1",-0.365261631825754,0.180506187848112
"96","EPPPCP..AE-EC.mem.ID.1",-0.24564652983314,0.128379296086548
"97","EPPPCP..CR-RC.emp.A.1",0.42661121170243,0.427809921315692
"98","EPPPCP..CR-TR.emp.A.1",-0.308195503849441,0.280315392743372
"99","EPPPCP..CR-EO.emp.A.1",-0.278862488642411,0.588908954994281
"100","EPPPCP..CR-EC.emp.A.1",-0.216986370748005,0.721751659197121
"101","EPPPCP..CR-RC.emp.T.1",-0.23853006615538,0.384582755496393
"102","EPPPCP..CR-TR.emp.T.1",-0.296251481967358,0.0664840397334456
"103","EPPPCP..CR-EO.emp.T.1",0.262349129986869,0.939904310512045
"104","EPPPCP..CR-EC.emp.T.1",0.0417386246304574,0.395218835928473
"105","EPPPCP..CR-RC.emp.E.1",-0.241763648296895,0.365360289923019
"106","EPPPCP..CR-TR.emp.E.1",-0.4209144755417,0.0321967179796786
"107","EPPPCP..CR-EO.emp.E.1",-0.0117643149816345,0.142760601701449
"108","EPPPCP..CR-EC.emp.E.1",0.222045207416434,0.855695957404081
"109","EPPPCP..CR-RC.mem.A.1",0.204060916238972,0.304684483915636
"110","EPPPCP..CR-TR.mem.A.1",-0.176852336710961,0.264696380152151
"111","EPPPCP..CR-EO.mem.A.1",-0.528504460604011,0.0708603838030405
"112","EPPPCP..CR-EC.mem.A.1",0.356082584727957,0.460732759251007
"113","EPPPCP..CR-RC.mem.T.1",-0.340174252450772,0.947386309287291
