,Variables,Corr,P_val
398,SSIS.Int.1-TR.mem.A.1,0.127483542,0.955650398
399,SSIS.Int.1-EO.mem.A.1,-0.402581608,0.713910487
400,SSIS.Int.1-EC.mem.A.1,0.030471759,0.527210934
401,SSIS.Int.1-RC.mem.T.1,-0.274110368,0.326939949
402,SSIS.Int.1-TR.mem.T.1,-0.000358992,0.72096168
403,SSIS.Int.1-EO.mem.T.1,0.061271729,0.414957333
404,SSIS.Int.1-EC.mem.T.1,0.153611054,0.971795677
405,SSIS.Int.1-RC.mem.E.1,-0.1751209,0.767693283
406,SSIS.Int.1-TR.mem.E.1,0.120646938,0.432631633
407,SSIS.Int.1-EO.mem.E.1,0.337103908,0.939395443
408,SSIS.Int.1-EC.mem.E.1,-0.171510262,0.647559479
409,SSIS.Int.1-RC.emp.ID.1,-0.325125211,0.436836445
410,SSIS.Int.1-TR.emp.ID.1,-0.341533831,0.730710664
411,SSIS.Int.1-EO.emp.ID.1,-0.368069386,0.897770937
412,SSIS.Int.1-EC.emp.ID.1,0.415117633,0.426658958
413,SSIS.Int.1-RC.mem.ID.1,-0.099101516,0.70527077
414,SSIS.Int.1-TR.mem.ID.1,-0.229725048,0.817466266
415,SSIS.Int.1-EO.mem.ID.1,-0.116218162,0.506786433
416,SSIS.Int.1-EC.mem.ID.1,0.347931522,0.548547892
