,Variables,Corr,P_val
94,SSIS.Coop.1-TR.mem.ID.1,0.115401383,0.817466266
95,SSIS.Coop.1-EO.mem.ID.1,-0.049082966,0.506786433
96,SSIS.Coop.1-EC.mem.ID.1,7.50E-05,0.548547892
97,SSIS.As.1-RC.emp.A.1,-0.388557385,0.240643276
98,SSIS.As.1-TR.emp.A.1,0.203381407,0.907802216
99,SSIS.As.1-EO.emp.A.1,0.351499297,0.559888321
100,SSIS.As.1-EC.emp.A.1,0.043713596,0.396792606
101,SSIS.As.1-RC.emp.T.1,-0.406258131,0.622638489
102,SSIS.As.1-TR.emp.T.1,-0.03543452,0.645736897
103,SSIS.As.1-EO.emp.T.1,-0.109256744,0.122885792
104,SSIS.As.1-EC.emp.T.1,0.447183107,0.128901672
105,SSIS.As.1-RC.emp.E.1,0.361598999,0.840500497
106,SSIS.As.1-TR.emp.E.1,-0.289790809,0.632711906
107,SSIS.As.1-EO.emp.E.1,-0.344899252,0.215729863
108,SSIS.As.1-EC.emp.E.1,-0.171815632,0.474085923
109,SSIS.As.1-RC.mem.A.1,0.071070292,0.337964333
110,SSIS.As.1-TR.mem.A.1,0.103625093,0.955650398
111,SSIS.As.1-EO.mem.A.1,-0.218574671,0.713910487
112,SSIS.As.1-EC.mem.A.1,0.161888691,0.527210934
113,SSIS.As.1-RC.mem.T.1,0.179114472,0.326939949
114,SSIS.As.1-TR.mem.T.1,0.152405143,0.72096168
115,SSIS.As.1-EO.mem.T.1,-0.035822894,0.414957333
116,SSIS.As.1-EC.mem.T.1,-0.10447245,0.971795677
117,SSIS.As.1-RC.mem.E.1,-0.065167687,0.767693283
118,SSIS.As.1-TR.mem.E.1,-0.034376671,0.432631633
119,SSIS.As.1-EO.mem.E.1,0.261397625,0.939395443
120,SSIS.As.1-EC.mem.E.1,-0.220894623,0.647559479
121,SSIS.As.1-RC.emp.ID.1,-0.335489348,0.436836445
122,SSIS.As.1-TR.emp.ID.1,-0.061572291,0.730710664
123,SSIS.As.1-EO.emp.ID.1,0.14003991,0.897770937
124,SSIS.As.1-EC.emp.ID.1,0.311357256,0.426658958
125,SSIS.As.1-RC.mem.ID.1,0.517772744,0.70527077
126,SSIS.As.1-TR.mem.ID.1,-0.170868901,0.817466266
127,SSIS.As.1-EO.mem.ID.1,-0.330896348,0.506786433
128,SSIS.As.1-EC.mem.ID.1,-0.124162236,0.548547892
129,SSIS.Resp.1-RC.emp.A.1,-0.198269614,0.240643276
130,SSIS.Resp.1-TR.emp.A.1,0.13951149,0.907802216
131,SSIS.Resp.1-EO.emp.A.1,0.133352133,0.559888321
132,SSIS.Resp.1-EC.emp.A.1,0.094927117,0.396792606
133,SSIS.Resp.1-RC.emp.T.1,0.171887817,0.622638489
134,SSIS.Resp.1-TR.emp.T.1,-0.038359973,0.645736897
135,SSIS.Resp.1-EO.emp.T.1,-0.448550417,0.122885792
136,SSIS.Resp.1-EC.emp.T.1,0.145428826,0.128901672
137,SSIS.Resp.1-RC.emp.E.1,-0.25361705,0.840500497
138,SSIS.Resp.1-TR.emp.E.1,0.090321744,0.632711906
139,SSIS.Resp.1-EO.emp.E.1,-0.09109685,0.215729863
140,SSIS.Resp.1-EC.emp.E.1,0.267756725,0.474085923
141,SSIS.Resp.1-RC.mem.A.1,-0.027980175,0.337964333
142,SSIS.Resp.1-TR.mem.A.1,-0.084137756,0.955650398
143,SSIS.Resp.1-EO.mem.A.1,0.386784772,0.713910487
144,SSIS.Resp.1-EC.mem.A.1,-0.393794454,0.527210934
145,SSIS.Resp.1-RC.mem.T.1,0.324990775,0.326939949
146,SSIS.Resp.1-TR.mem.T.1,-0.155141345,0.72096168
147,SSIS.Resp.1-EO.mem.T.1,-0.093673812,0.414957333
148,SSIS.Resp.1-EC.mem.T.1,-0.161681831,0.971795677
149,SSIS.Resp.1-RC.mem.E.1,-0.124235749,0.767693283
150,SSIS.Resp.1-TR.mem.E.1,-0.008079747,0.432631633
151,SSIS.Resp.1-EO.mem.E.1,-0.078835408,0.939395443
152,SSIS.Resp.1-EC.mem.E.1,0.245709778,0.647559479
153,SSIS.Resp.1-RC.emp.ID.1,0.693168582,0.436836445
154,SSIS.Resp.1-TR.emp.ID.1,0.274706872,0.730710664
155,SSIS.Resp.1-EO.emp.ID.1,0.078450132,0.897770937
156,SSIS.Resp.1-EC.emp.ID.1,-0.714716864,0.426658958
157,SSIS.Resp.1-RC.mem.ID.1,-0.145221646,0.70527077
158,SSIS.Resp.1-TR.mem.ID.1,0.28511651,0.817466266
159,SSIS.Resp.1-EO.mem.ID.1,0.124490379,0.506786433
160,SSIS.Resp.1-EC.mem.ID.1,-0.277778499,0.548547892
161,SSIS.Emp.1-RC.emp.A.1,-0.20357005,0.240643276
162,SSIS.Emp.1-TR.emp.A.1,0.168992963,0.907802216
163,SSIS.Emp.1-EO.emp.A.1,0.437483549,0.559888321
164,SSIS.Emp.1-EC.emp.A.1,-0.376966264,0.396792606
165,SSIS.Emp.1-RC.emp.T.1,-0.279242392,0.622638489
166,SSIS.Emp.1-TR.emp.T.1,0.134503087,0.645736897
167,SSIS.Emp.1-EO.emp.T.1,0.003737671,0.122885792
168,SSIS.Emp.1-EC.emp.T.1,0.254053507,0.128901672
169,SSIS.Emp.1-RC.emp.E.1,0.230617658,0.840500497
170,SSIS.Emp.1-TR.emp.E.1,0.155701395,0.632711906
171,SSIS.Emp.1-EO.emp.E.1,0.099619386,0.215729863
172,SSIS.Emp.1-EC.emp.E.1,-0.25089663,0.474085923
173,SSIS.Emp.1-RC.mem.A.1,0.142346526,0.337964333
174,SSIS.Emp.1-TR.mem.A.1,0.17296372,0.955650398
175,SSIS.Emp.1-EO.mem.A.1,-0.22482769,0.713910487
176,SSIS.Emp.1-EC.mem.A.1,0.090524551,0.527210934
177,SSIS.Emp.1-RC.mem.T.1,-0.216327503,0.326939949
178,SSIS.Emp.1-TR.mem.T.1,-0.076889871,0.72096168
179,SSIS.Emp.1-EO.mem.T.1,-0.02626834,0.414957333
180,SSIS.Emp.1-EC.mem.T.1,0.193773,0.971795677
